0,0,16
0,1,37
0,2,47
0,3,28
0,4,31
0,5,25
0,6,19
0,7,46
0,8,35
0,9,33
1,0,24
1,1,14
1,2,21
1,3,30
1,4,31
1,5,34
1,6,63
1,7,48
1,8,22
1,9,77
2,0,23
2,1,28
2,2,24
2,3,19
2,4,29
2,5,32
2,6,12
2,7,25
2,8,19
2,9,25
3,0,48
3,1,16
3,2,123
3,3,20
3,4,65
3,5,45
3,6,31
3,7,31
3,8,18
3,9,37
4,0,78
4,1,37
4,2,76
4,3,37
4,4,19
4,5,13
4,6,33
4,7,48
4,8,19
4,9,10
5,0,43
5,1,21
5,2,29
5,3,26
5,4,42
5,5,11
5,6,24
5,7,30
5,8,25
5,9,34
6,0,16
6,1,34
6,2,40
6,3,19
6,4,40
6,5,57
6,6,45
6,7,53
6,8,52
6,9,33
0,0,22
0,1,18
0,2,19
0,3,11
0,4,17
0,5,17
0,6,9
0,7,10
0,8,13
0,9,13
0,0,25
0,1,14
0,2,18
0,3,15
0,4,15
0,5,33
0,6,42
0,7,30
0,8,53
0,9,18
0,0,22
0,1,24
0,2,12
0,3,16
0,4,17
0,5,15
0,6,12
0,7,15
0,8,12
0,9,30
1,0,13
1,1,16
1,2,17
1,3,10
1,4,15
1,5,15
1,6,17
1,7,17
1,8,11
1,9,13
2,0,25
2,1,12
2,2,34
2,3,24
2,4,11
2,5,16
2,6,15
2,7,15
2,8,18
2,9,11
3,0,19
3,1,14
3,2,15
3,3,11
3,4,32
3,5,24
3,6,10
3,7,21
3,8,27
3,9,40
4,0,11
4,1,20
4,2,34
4,3,25
4,4,17
4,5,11
4,6,9
4,7,24
4,8,11
4,9,10
5,0,44
5,1,23
5,2,16
5,3,28
5,4,18
5,5,11
5,6,15
5,7,9
5,8,28
5,9,8
6,0,19
6,1,15
6,2,57
6,3,32
6,4,15
6,5,15
6,6,9
6,7,21
6,8,14
6,9,19
7,0,10
7,1,11
7,2,19
7,3,42
7,4,18
7,5,22
7,6,15
7,7,15
7,8,16
7,9,12
8,0,16
8,1,26
8,2,15
8,3,32
8,4,29
8,5,11
8,6,21
8,7,58
8,8,50
8,9,10
9,0,13
9,1,22
9,2,15
9,3,36
9,4,20
9,5,14
9,6,26
9,7,18
9,8,15
9,9,15
10,0,25
10,1,13
10,2,17
10,3,13
10,4,11
10,5,37
10,6,28
10,7,18
10,8,20
10,9,37
11,0,54
11,1,25
11,2,16
11,3,16
11,4,24
11,5,34
11,6,15
11,7,12
11,8,19
11,9,24
12,0,14
12,1,19
12,2,58
12,3,18
12,4,33
12,5,29
12,6,21
12,7,28
12,8,37
12,9,38
13,0,44
13,1,19
13,2,18
13,3,14
13,4,18
13,5,12
13,6,24
13,7,29
13,8,16
13,9,58
14,0,55
14,1,11
14,2,28
14,3,39
14,4,22
14,5,33
14,6,15
14,7,15
14,8,14
14,9,21
15,0,19
15,1,37
15,2,18
15,3,17
15,4,31
15,5,41
15,6,33
15,7,14
15,8,72
15,9,40
16,0,10
16,1,23
16,2,23
16,3,17
16,4,13
16,5,21
16,6,15
16,7,30
16,8,15
16,9,12
17,0,35
17,1,13
17,2,14
17,3,23
17,4,53
17,5,12
17,6,31
17,7,22
17,8,13
17,9,30
18,0,24
18,1,15
18,2,39
18,3,19
18,4,16
18,5,33
18,6,37
18,7,64
18,8,26
18,9,17
19,0,14
19,1,53
19,2,23
19,3,62
19,4,20
19,5,25
19,6,13
19,7,40
19,8,21
19,9,27
20,0,54
20,1,21
20,2,15
20,3,26
20,4,73
20,5,35
20,6,54
20,7,35
20,8,42
20,9,9
21,0,42
21,1,37
21,2,56
21,3,21
21,4,57
21,5,26
21,6,26
21,7,58
21,8,31
21,9,26
22,0,27
22,1,18
22,2,20
22,3,16
22,4,18
22,5,27
22,6,23
22,7,31
22,8,51
22,9,44
23,0,16
23,1,38
23,2,47
23,3,22
23,4,56
23,5,19
23,6,46
23,7,61
23,8,21
23,9,17
24,0,70
24,1,11
24,2,50
24,3,18
24,4,12
24,5,38
24,6,33
24,7,18
24,8,37
24,9,16
25,0,18
25,1,31
25,2,83
25,3,28
25,4,36
25,5,16
25,6,27
25,7,51
25,8,18
25,9,50
26,0,40
26,1,32
26,2,13
26,3,48
26,4,21
26,5,31
26,6,25
26,7,44
26,8,14
26,9,88
27,0,13
27,1,50
27,2,10
27,3,28
27,4,46
27,5,107
27,6,37
27,7,33
27,8,58
27,9,36
28,0,40
28,1,51
28,2,30
28,3,34
28,4,29
28,5,30
28,6,46
28,7,19
28,8,37
28,9,15
29,0,28
29,1,95
29,2,59
29,3,55
29,4,33
29,5,34
29,6,48
29,7,58
29,8,14
29,9,58
30,0,30
30,1,34
30,2,32
30,3,30
30,4,17
30,5,24
30,6,20
30,7,66
30,8,46
30,9,23
31,0,26
31,1,41
31,2,54
31,3,41
31,4,64
31,5,18
31,6,49
31,7,49
31,8,53
31,9,55
32,0,31
32,1,22
32,2,31
32,3,32
32,4,87
32,5,71
32,6,52
32,7,36
32,8,16
32,9,108
33,0,61
33,1,29
33,2,16
33,3,42
33,4,59
33,5,48
33,6,42
33,7,21
33,8,70
33,9,25
34,0,33
34,1,78
34,2,14
34,3,75
34,4,42
34,5,57
34,6,27
34,7,74
34,8,20
34,9,50
35,0,38
35,1,35
35,2,71
35,3,39
35,4,54
35,5,35
35,6,50
35,7,43
35,8,26
35,9,132
36,0,56
36,1,72
36,2,18
36,3,32
36,4,41
36,5,100
36,6,47
36,7,119
36,8,56
36,9,75
37,0,51
37,1,35
37,2,45
37,3,33
37,4,27
37,5,51
37,6,25
37,7,20
37,8,30
37,9,59
38,0,35
38,1,66
38,2,60
38,3,26
38,4,52
38,5,33
38,6,56
38,7,30
38,8,38
38,9,22
39,0,40
39,1,40
39,2,60
39,3,17
39,4,49
39,5,61
39,6,25
39,7,32
39,8,36
39,9,42
40,0,33
40,1,56
40,2,48
40,3,38
40,4,50
40,5,49
40,6,38
40,7,35
40,8,89
40,9,49
41,0,48
41,1,59
41,2,40
41,3,34
41,4,84
41,5,84
41,6,57
41,7,13
41,8,47
41,9,85
42,0,18
42,1,14
42,2,91
42,3,31
42,4,64
42,5,35
42,6,57
42,7,46
42,8,50
42,9,56
43,0,49
43,1,36
43,2,82
43,3,79
43,4,40
43,5,23
43,6,34
43,7,43
43,8,117
43,9,26
44,0,37
44,1,38
44,2,50
44,3,71
44,4,55
44,5,50
44,6,65
44,7,63
44,8,49
44,9,35
45,0,31
45,1,29
45,2,49
45,3,33
45,4,38
45,5,74
45,6,26
45,7,39
45,8,25
45,9,35
46,0,27
46,1,37
46,2,45
46,3,62
46,4,38
46,5,42
46,6,43
46,7,38
46,8,46
46,9,67
47,0,38
47,1,28
47,2,38
47,3,51
47,4,19
47,5,102
47,6,27
47,7,21
47,8,31
47,9,48
48,0,36
48,1,37
48,2,50
48,3,34
48,4,31
48,5,52
48,6,72
48,7,55
48,8,59
48,9,72
49,0,20
49,1,57
49,2,47
49,3,47
49,4,31
49,5,55
49,6,20
49,7,39
49,8,47
49,9,118
50,0,36
50,1,60
50,2,75
50,3,31
50,4,46
50,5,104
50,6,38
50,7,46
50,8,59
50,9,71
51,0,42
51,1,34
51,2,68
51,3,45
51,4,123
51,5,41
51,6,75
51,7,64
51,8,28
51,9,68
52,0,52
52,1,72
52,2,56
52,3,68
52,4,36
52,5,60
52,6,63
52,7,67
52,8,22
52,9,69
53,0,84
53,1,59
53,2,31
53,3,48
53,4,107
53,5,36
53,6,47
53,7,89
53,8,45
53,9,62
54,0,31
54,1,54
54,2,58
54,3,93
54,4,59
54,5,39
54,6,37
54,7,49
54,8,61
54,9,28
55,0,46
55,1,49
55,2,59
55,3,77
55,4,71
55,5,27
55,6,30
55,7,51
55,8,91
55,9,67
56,0,29
56,1,58
56,2,73
56,3,111
56,4,59
56,5,69
56,6,92
56,7,75
56,8,84
56,9,76
57,0,46
57,1,26
57,2,83
57,3,35
57,4,89
57,5,93
57,6,71
57,7,45
57,8,61
57,9,46
58,0,53
58,1,33
58,2,25
58,3,23
58,4,44
58,5,57
58,6,65
58,7,57
58,8,48
58,9,54
59,0,54
59,1,66
59,2,51
59,3,57
59,4,35
59,5,65
59,6,73
59,7,48
59,8,35
59,9,49
60,0,16
60,1,32
60,2,79
60,3,82
60,4,57
60,5,45
60,6,87
60,7,90
60,8,36
60,9,39
61,0,39
61,1,32
61,2,74
61,3,27
61,4,45
61,5,107
61,6,59
61,7,54
61,8,120
61,9,42
62,0,72
62,1,94
62,2,152
62,3,53
62,4,77
62,5,102
62,6,61
62,7,54
62,8,62
62,9,113
63,0,66
63,1,29
63,2,58
63,3,62
63,4,68
63,5,96
63,6,60
63,7,58
63,8,73
63,9,45
64,0,35
64,1,48
64,2,53
64,3,24
64,4,88
64,5,52
64,6,57
64,7,19
64,8,48
64,9,58
65,0,39
65,1,39
65,2,44
65,3,58
65,4,67
65,5,25
65,6,75
65,7,84
65,8,49
65,9,25
66,0,59
66,1,65
66,2,43
66,3,93
66,4,50
66,5,112
66,6,91
66,7,24
66,8,76
66,9,50
67,0,55
67,1,86
67,2,56
67,3,102
67,4,73
67,5,32
67,6,42
67,7,78
67,8,108
67,9,74
68,0,57
68,1,55
68,2,65
68,3,64
68,4,98
68,5,49
68,6,75
68,7,57
68,8,62
68,9,68
69,0,88
69,1,46
69,2,80
69,3,54
69,4,111
69,5,98
69,6,32
69,7,133
69,8,48
69,9,41
70,0,27
70,1,87
70,2,81
70,3,52
70,4,45
70,5,77
70,6,57
70,7,59
70,8,48
70,9,47
71,0,38
71,1,27
71,2,60
71,3,50
71,4,47
71,5,29
71,6,69
71,7,85
71,8,33
71,9,12
72,0,70
72,1,119
72,2,44
